X,Y,Z,ms,Date
0,3,9,8,07:32:01:602
-1,4,9,508,07:32:02:102
-1,4,9,1007,07:32:02:601
-1,4,9,1507,07:32:03:101
-1,4,8,2007,07:32:03:601
-4,5,8,2508,07:32:04:102
-3,5,8,3007,07:32:04:601
-2,5,8,3508,07:32:05:102
-6,7,7,4007,07:32:05:601
-12,-6,2,4507,07:32:06:101
-7,-1,-1,5007,07:32:06:601
-15,-5,0,5508,07:32:07:102
-3,-9,8,6008,07:32:07:602
0,-9,-1,6507,07:32:08:101
-1,-11,0,7008,07:32:08:602
0,-10,1,7508,07:32:09:102
2,-10,0,8008,07:32:09:602
2,-10,0,8507,07:32:10:101
2,-9,0,9007,07:32:10:601
-1,-10,-1,9508,07:32:11:102
0,-10,0,10007,07:32:11:601
1,-10,0,10508,07:32:12:102
1,-10,0,11008,07:32:12:602
1,-10,0,11507,07:32:13:101
1,-10,-1,12007,07:32:13:601
0,-10,0,12507,07:32:14:101
1,-10,-1,13007,07:32:14:601
1,-10,-1,13508,07:32:15:102
1,-10,-1,14007,07:32:15:601
1,-10,-1,14507,07:32:16:101
1,-10,-1,15008,07:32:16:602
1,-10,-1,15508,07:32:17:102
1,-10,-1,16008,07:32:17:602
1,-10,-1,16508,07:32:18:102
1,-8,-1,17007,07:32:18:601
1,-10,-1,17508,07:32:19:102
1,-10,-1,18007,07:32:19:601
1,-10,-1,18508,07:32:20:102
1,-10,-1,19007,07:32:20:601
1,-10,-1,19507,07:32:21:101
1,-10,-1,20008,07:32:21:602
1,-10,-1,20507,07:32:22:101
1,-10,-1,21008,07:32:22:602
1,-10,-1,21508,07:32:23:102
1,-10,-1,22008,07:32:23:602
1,-10,-1,22508,07:32:24:102
1,-10,0,23007,07:32:24:601
1,-10,-1,23507,07:32:25:101
1,-10,-1,24007,07:32:25:601
1,-10,-1,24507,07:32:26:101
1,-10,-1,25007,07:32:26:601
1,-10,-1,25508,07:32:27:102
1,-10,-1,26008,07:32:27:602
1,-10,-1,26508,07:32:28:102
1,-10,-1,27007,07:32:28:601
1,-10,-1,27508,07:32:29:102
1,-10,-1,28007,07:32:29:601
1,-10,-1,28508,07:32:30:102
1,-10,0,29007,07:32:30:601
1,-10,-1,29507,07:32:31:101
1,-10,-1,30007,07:32:31:601
0,-10,-1,30508,07:32:32:102
0,-10,-1,31007,07:32:32:601
2,-11,-1,31508,07:32:33:102
1,-9,3,32008,07:32:33:602
0,-10,-1,32508,07:32:34:102
0,-10,1,33007,07:32:34:601
1,-11,-2,33508,07:32:35:102
6,-14,-3,34008,07:32:35:602
0,-10,-1,34507,07:32:36:101
0,-9,1,35007,07:32:36:601
-1,-11,-2,35507,07:32:37:101
2,-12,4,36007,07:32:37:601
3,-6,4,36508,07:32:38:102
0,-12,8,37008,07:32:38:602
2,-22,20,37508,07:32:39:102
0,-10,0,38008,07:32:39:602
2,-3,-2,38508,07:32:40:102
0,-10,1,39008,07:32:40:602
2,-3,-3,39508,07:32:41:102
0,-7,1,40008,07:32:41:602
-2,-7,-2,40508,07:32:42:102
0,-11,3,41007,07:32:42:601
1,-5,-1,41508,07:32:43:102
1,-8,-1,42008,07:32:43:602
4,-13,-3,42507,07:32:44:101
2,-12,-3,43008,07:32:44:602
2,-11,2,43508,07:32:45:102
3,-9,3,44007,07:32:45:601
-1,-10,-1,44507,07:32:46:101
0,-10,0,45007,07:32:46:601
-1,-9,2,45507,07:32:47:101
1,-7,4,46008,07:32:47:602
1,-10,-1,46507,07:32:48:101
2,-5,-1,47008,07:32:48:602
1,-9,1,47507,07:32:49:101
-1,-10,-1,48008,07:32:49:602
3,-10,5,48507,07:32:50:101
1,-9,2,49008,07:32:50:602
1,-9,2,49507,07:32:51:101
1,-9,2,50007,07:32:51:601
1,-9,2,50507,07:32:52:101
2,-9,2,51007,07:32:52:601
2,-9,1,51508,07:32:53:102
1,-9,1,52008,07:32:53:602
2,-10,-1,52508,07:32:54:102
1,-10,0,53008,07:32:54:602
4,-8,-2,53508,07:32:55:102
3,-8,0,54007,07:32:55:601
0,-10,-2,54507,07:32:56:101
1,-10,-1,55008,07:32:56:602
0,-10,1,55508,07:32:57:102
0,-10,3,56008,07:32:57:602
1,-10,2,56508,07:32:58:102
0,-12,-2,57007,07:32:58:601
2,-9,4,57508,07:32:59:102
-1,-9,2,58007,07:32:59:601
-2,-11,-4,58507,07:33:00:101
1,-9,1,59008,07:33:00:602
1,-10,1,59507,07:33:01:101
0,-10,-1,60007,07:33:01:601
2,-9,2,60507,07:33:02:101
2,-9,2,61008,07:33:02:602
3,-12,-1,61508,07:33:03:102
1,-10,3,62007,07:33:03:601
-1,-9,1,62508,07:33:04:102
3,-10,2,63008,07:33:04:602
1,-10,-1,63508,07:33:05:102
1,-10,1,64007,07:33:05:601
1,-9,3,64508,07:33:06:102
0,-10,0,65007,07:33:06:601
4,-10,-4,65508,07:33:07:102
2,-9,2,66008,07:33:07:602
0,-10,0,66508,07:33:08:102
2,-10,-1,67007,07:33:08:601
1,-10,-1,67507,07:33:09:101
1,-10,-1,68008,07:33:09:602
2,-10,-1,68507,07:33:10:101
1,-10,-1,69008,07:33:10:602
1,-10,-1,69508,07:33:11:102
1,-10,-1,70008,07:33:11:602
1,-10,-1,70508,07:33:12:102
1,-10,0,71007,07:33:12:601
1,-10,0,71507,07:33:13:101
1,-10,-1,72007,07:33:13:601
1,-10,-1,72508,07:33:14:102
2,-9,0,73008,07:33:14:602
1,-10,0,73508,07:33:15:102
-1,-10,0,74007,07:33:15:601
-1,-12,1,74508,07:33:16:102
1,-9,4,75008,07:33:16:602
1,-8,1,75507,07:33:17:101
1,-10,0,76008,07:33:17:602
1,-10,-1,76508,07:33:18:102
2,-10,-1,77008,07:33:18:602
2,-9,0,77508,07:33:19:102
1,-10,-1,78007,07:33:19:601
1,-10,-1,78508,07:33:20:102
1,-10,-1,79007,07:33:20:601
1,-10,0,79507,07:33:21:101
1,-10,-1,80008,07:33:21:602
1,-10,-1,80507,07:33:22:101
1,-10,0,81007,07:33:22:601
1,-10,-1,81508,07:33:23:102
1,-10,0,82007,07:33:23:601
2,-10,0,82507,07:33:24:101
2,-10,0,83008,07:33:24:602
1,-10,-1,83508,07:33:25:102
1,-10,-1,84007,07:33:25:601
1,-10,0,84508,07:33:26:102
2,-10,0,85007,07:33:26:601
2,-10,0,85508,07:33:27:102
1,-10,0,86008,07:33:27:602
2,-10,-1,86507,07:33:28:101
2,-10,-1,87008,07:33:28:602
1,-10,-1,87508,07:33:29:102
1,-10,0,88008,07:33:29:602
1,-10,-1,88507,07:33:30:101
2,-10,0,89007,07:33:30:601
2,-10,1,89508,07:33:31:102
2,-10,1,90008,07:33:31:602
2,-9,0,90507,07:33:32:101
2,-9,1,91007,07:33:32:601
2,-10,0,91507,07:33:33:101
2,-10,0,92008,07:33:33:602
2,-9,0,92508,07:33:34:102
2,-10,0,93008,07:33:34:602
2,-10,0,93508,07:33:35:102
1,-10,0,94008,07:33:35:602
2,-10,0,94507,07:33:36:101
2,-10,0,95007,07:33:36:601
2,-10,0,95508,07:33:37:102
2,-10,1,96008,07:33:37:602
2,-10,1,96508,07:33:38:102
2,-10,1,97007,07:33:38:601
2,-9,2,97507,07:33:39:101
2,-10,1,98007,07:33:39:601
1,-10,-1,98508,07:33:40:102
1,-10,-1,99007,07:33:40:601
3,-10,-1,99507,07:33:41:101
2,-10,0,100007,07:33:41:601
1,-9,0,100507,07:33:42:101
0,-10,0,101008,07:33:42:602
-1,-11,0,101508,07:33:43:102
-1,-10,0,102007,07:33:43:601
-2,-11,-2,102507,07:33:44:101
1,-10,-1,103008,07:33:44:602
1,-9,1,103508,07:33:45:102
2,-9,1,104008,07:33:45:602
1,-10,0,104507,07:33:46:101
1,-10,0,105008,07:33:46:602
1,-10,0,105507,07:33:47:101
1,-10,0,106007,07:33:47:601
1,-10,-1,106507,07:33:48:101
1,-10,-1,107007,07:33:48:601
1,-10,-1,107508,07:33:49:102
1,-10,-1,108007,07:33:49:601
0,-10,0,108508,07:33:50:102
0,-10,1,109007,07:33:50:601
1,-11,5,109507,07:33:51:101
-1,-9,2,110008,07:33:51:602
0,-9,0,110508,07:33:52:102
6,-13,-2,111007,07:33:52:601
4,-1,-7,111508,07:33:53:102
1,-12,1,112007,07:33:53:601
1,-6,2,112508,07:33:54:102
1,-8,1,113008,07:33:54:602
5,-11,4,113507,07:33:55:101
4,-10,-6,114008,07:33:55:602
1,-15,0,114508,07:33:56:102
7,-23,7,115007,07:33:56:601
-1,-14,-1,115507,07:33:57:101
3,-4,10,116008,07:33:57:602
-1,-12,4,116508,07:33:58:102
-4,-18,12,117008,07:33:58:602
1,-11,1,117508,07:33:59:102
6,-4,-3,118008,07:33:59:602
1,-9,-1,118507,07:34:00:101
4,-5,-3,119007,07:34:00:601
1,-9,1,119508,07:34:01:102
4,-5,-2,120008,07:34:01:602
1,-8,1,120507,07:34:02:101
0,-7,-2,121007,07:34:02:601
-1,-12,-3,121508,07:34:03:102
2,-12,7,122007,07:34:03:601
0,-9,4,122507,07:34:04:101
0,-9,1,123008,07:34:04:602
0,-10,-1,123507,07:34:05:101
-1,-10,0,124007,07:34:05:601
0,-10,0,124508,07:34:06:102
2,-9,4,125007,07:34:06:601
0,-10,1,125507,07:34:07:101
0,-15,-4,126008,07:34:07:602
-2,-12,2,126507,07:34:08:101
1,-9,1,127007,07:34:08:601
-4,-11,1,127508,07:34:09:102
0,-16,-2,128007,07:34:09:601
-2,-14,-3,128508,07:34:10:102
2,-9,2,129008,07:34:10:602
0,-9,0,129508,07:34:11:102
-2,-12,-1,130007,07:34:11:601
0,-10,3,130507,07:34:12:101
3,-10,-2,131007,07:34:12:601
2,-9,3,131507,07:34:13:101
5,-18,3,132007,07:34:13:601
1,-10,0,132507,07:34:14:101
0,-10,0,133008,07:34:14:602
2,-10,2,133507,07:34:15:101
2,-9,1,134007,07:34:15:601
1,-10,-1,134507,07:34:16:101
1,-10,-1,135008,07:34:16:602
2,-10,0,135508,07:34:17:102
1,-10,0,136007,07:34:17:601
2,-10,0,136507,07:34:18:101
2,-10,0,137008,07:34:18:602
2,-10,0,137508,07:34:19:102
2,-10,0,138007,07:34:19:601
2,-10,0,138507,07:34:20:101
2,-10,0,139007,07:34:20:601
2,-10,0,139507,07:34:21:101
2,-10,0,140007,07:34:21:601
2,-10,0,140508,07:34:22:102
2,-10,0,141007,07:34:22:601
2,-10,0,141508,07:34:23:102
2,-10,0,142007,07:34:23:601
2,-10,0,142507,07:34:24:101
1,-10,0,143007,07:34:24:601
1,-10,0,143508,07:34:25:102
2,-10,0,144008,07:34:25:602
2,-10,0,144507,07:34:26:101
2,-10,0,145008,07:34:26:602
2,-10,0,145507,07:34:27:101
1,-10,0,146007,07:34:27:601
1,-10,0,146507,07:34:28:101
1,-9,2,147008,07:34:28:602
2,-10,1,147507,07:34:29:101
-1,-10,-1,148007,07:34:29:601
-2,-10,0,148507,07:34:30:101
2,-10,1,149008,07:34:30:602
1,-9,1,149508,07:34:31:102
2,-9,2,150007,07:34:31:601
