X,Y,Z,ms,Date
0,3,9,8,2018-07-25 07:32:01:602
-1,4,9,508,2018-07-25 07:32:02:102
-1,4,9,1007,2018-07-25 07:32:02:601
-1,4,9,1507,2018-07-25 07:32:03:101
-1,4,8,2007,2018-07-25 07:32:03:601
-4,5,8,2508,2018-07-25 07:32:04:102
-3,5,8,3007,2018-07-25 07:32:04:601
-2,5,8,3508,2018-07-25 07:32:05:102
-6,7,7,4007,2018-07-25 07:32:05:601
-12,-6,2,4507,2018-07-25 07:32:06:101
-7,-1,-1,5007,2018-07-25 07:32:06:601
-15,-5,0,5508,2018-07-25 07:32:07:102
-3,-9,8,6008,2018-07-25 07:32:07:602
0,-9,-1,6507,2018-07-25 07:32:08:101
-1,-11,0,7008,2018-07-25 07:32:08:602
0,-10,1,7508,2018-07-25 07:32:09:102
2,-10,0,8008,2018-07-25 07:32:09:602
2,-10,0,8507,2018-07-25 07:32:10:101
2,-9,0,9007,2018-07-25 07:32:10:601
-1,-10,-1,9508,2018-07-25 07:32:11:102
0,-10,0,10007,2018-07-25 07:32:11:601
1,-10,0,10508,2018-07-25 07:32:12:102
1,-10,0,11008,2018-07-25 07:32:12:602
1,-10,0,11507,2018-07-25 07:32:13:101
1,-10,-1,12007,2018-07-25 07:32:13:601
0,-10,0,12507,2018-07-25 07:32:14:101
1,-10,-1,13007,2018-07-25 07:32:14:601
1,-10,-1,13508,2018-07-25 07:32:15:102
1,-10,-1,14007,2018-07-25 07:32:15:601
1,-10,-1,14507,2018-07-25 07:32:16:101
1,-10,-1,15008,2018-07-25 07:32:16:602
1,-10,-1,15508,2018-07-25 07:32:17:102
1,-10,-1,16008,2018-07-25 07:32:17:602
1,-10,-1,16508,2018-07-25 07:32:18:102
1,-8,-1,17007,2018-07-25 07:32:18:601
1,-10,-1,17508,2018-07-25 07:32:19:102
1,-10,-1,18007,2018-07-25 07:32:19:601
1,-10,-1,18508,2018-07-25 07:32:20:102
1,-10,-1,19007,2018-07-25 07:32:20:601
1,-10,-1,19507,2018-07-25 07:32:21:101
1,-10,-1,20008,2018-07-25 07:32:21:602
1,-10,-1,20507,2018-07-25 07:32:22:101
1,-10,-1,21008,2018-07-25 07:32:22:602
1,-10,-1,21508,2018-07-25 07:32:23:102
1,-10,-1,22008,2018-07-25 07:32:23:602
1,-10,-1,22508,2018-07-25 07:32:24:102
1,-10,0,23007,2018-07-25 07:32:24:601
1,-10,-1,23507,2018-07-25 07:32:25:101
1,-10,-1,24007,2018-07-25 07:32:25:601
1,-10,-1,24507,2018-07-25 07:32:26:101
1,-10,-1,25007,2018-07-25 07:32:26:601
1,-10,-1,25508,2018-07-25 07:32:27:102
1,-10,-1,26008,2018-07-25 07:32:27:602
1,-10,-1,26508,2018-07-25 07:32:28:102
1,-10,-1,27007,2018-07-25 07:32:28:601
1,-10,-1,27508,2018-07-25 07:32:29:102
1,-10,-1,28007,2018-07-25 07:32:29:601
1,-10,-1,28508,2018-07-25 07:32:30:102
1,-10,0,29007,2018-07-25 07:32:30:601
1,-10,-1,29507,2018-07-25 07:32:31:101
1,-10,-1,30007,2018-07-25 07:32:31:601
0,-10,-1,30508,2018-07-25 07:32:32:102
0,-10,-1,31007,2018-07-25 07:32:32:601
2,-11,-1,31508,2018-07-25 07:32:33:102
1,-9,3,32008,2018-07-25 07:32:33:602
0,-10,-1,32508,2018-07-25 07:32:34:102
0,-10,1,33007,2018-07-25 07:32:34:601
1,-11,-2,33508,2018-07-25 07:32:35:102
6,-14,-3,34008,2018-07-25 07:32:35:602
0,-10,-1,34507,2018-07-25 07:32:36:101
0,-9,1,35007,2018-07-25 07:32:36:601
-1,-11,-2,35507,2018-07-25 07:32:37:101
2,-12,4,36007,2018-07-25 07:32:37:601
3,-6,4,36508,2018-07-25 07:32:38:102
0,-12,8,37008,2018-07-25 07:32:38:602
2,-22,20,37508,2018-07-25 07:32:39:102
0,-10,0,38008,2018-07-25 07:32:39:602
2,-3,-2,38508,2018-07-25 07:32:40:102
0,-10,1,39008,2018-07-25 07:32:40:602
2,-3,-3,39508,2018-07-25 07:32:41:102
0,-7,1,40008,2018-07-25 07:32:41:602
-2,-7,-2,40508,2018-07-25 07:32:42:102
0,-11,3,41007,2018-07-25 07:32:42:601
1,-5,-1,41508,2018-07-25 07:32:43:102
1,-8,-1,42008,2018-07-25 07:32:43:602
4,-13,-3,42507,2018-07-25 07:32:44:101
2,-12,-3,43008,2018-07-25 07:32:44:602
2,-11,2,43508,2018-07-25 07:32:45:102
3,-9,3,44007,2018-07-25 07:32:45:601
-1,-10,-1,44507,2018-07-25 07:32:46:101
0,-10,0,45007,2018-07-25 07:32:46:601
-1,-9,2,45507,2018-07-25 07:32:47:101
1,-7,4,46008,2018-07-25 07:32:47:602
1,-10,-1,46507,2018-07-25 07:32:48:101
2,-5,-1,47008,2018-07-25 07:32:48:602
1,-9,1,47507,2018-07-25 07:32:49:101
-1,-10,-1,48008,2018-07-25 07:32:49:602
3,-10,5,48507,2018-07-25 07:32:50:101
1,-9,2,49008,2018-07-25 07:32:50:602
1,-9,2,49507,2018-07-25 07:32:51:101
1,-9,2,50007,2018-07-25 07:32:51:601
1,-9,2,50507,2018-07-25 07:32:52:101
2,-9,2,51007,2018-07-25 07:32:52:601
2,-9,1,51508,2018-07-25 07:32:53:102
1,-9,1,52008,2018-07-25 07:32:53:602
2,-10,-1,52508,2018-07-25 07:32:54:102
1,-10,0,53008,2018-07-25 07:32:54:602
4,-8,-2,53508,2018-07-25 07:32:55:102
3,-8,0,54007,2018-07-25 07:32:55:601
0,-10,-2,54507,2018-07-25 07:32:56:101
1,-10,-1,55008,2018-07-25 07:32:56:602
0,-10,1,55508,2018-07-25 07:32:57:102
0,-10,3,56008,2018-07-25 07:32:57:602
1,-10,2,56508,2018-07-25 07:32:58:102
0,-12,-2,57007,2018-07-25 07:32:58:601
2,-9,4,57508,2018-07-25 07:32:59:102
-1,-9,2,58007,2018-07-25 07:32:59:601
-2,-11,-4,58507,2018-07-25 07:33:00:101
1,-9,1,59008,2018-07-25 07:33:00:602
1,-10,1,59507,2018-07-25 07:33:01:101
0,-10,-1,60007,2018-07-25 07:33:01:601
2,-9,2,60507,2018-07-25 07:33:02:101
2,-9,2,61008,2018-07-25 07:33:02:602
3,-12,-1,61508,2018-07-25 07:33:03:102
1,-10,3,62007,2018-07-25 07:33:03:601
-1,-9,1,62508,2018-07-25 07:33:04:102
3,-10,2,63008,2018-07-25 07:33:04:602
1,-10,-1,63508,2018-07-25 07:33:05:102
1,-10,1,64007,2018-07-25 07:33:05:601
1,-9,3,64508,2018-07-25 07:33:06:102
0,-10,0,65007,2018-07-25 07:33:06:601
4,-10,-4,65508,2018-07-25 07:33:07:102
2,-9,2,66008,2018-07-25 07:33:07:602
0,-10,0,66508,2018-07-25 07:33:08:102
2,-10,-1,67007,2018-07-25 07:33:08:601
1,-10,-1,67507,2018-07-25 07:33:09:101
1,-10,-1,68008,2018-07-25 07:33:09:602
2,-10,-1,68507,2018-07-25 07:33:10:101
1,-10,-1,69008,2018-07-25 07:33:10:602
1,-10,-1,69508,2018-07-25 07:33:11:102
1,-10,-1,70008,2018-07-25 07:33:11:602
1,-10,-1,70508,2018-07-25 07:33:12:102
1,-10,0,71007,2018-07-25 07:33:12:601
1,-10,0,71507,2018-07-25 07:33:13:101
1,-10,-1,72007,2018-07-25 07:33:13:601
1,-10,-1,72508,2018-07-25 07:33:14:102
2,-9,0,73008,2018-07-25 07:33:14:602
1,-10,0,73508,2018-07-25 07:33:15:102
-1,-10,0,74007,2018-07-25 07:33:15:601
-1,-12,1,74508,2018-07-25 07:33:16:102
1,-9,4,75008,2018-07-25 07:33:16:602
1,-8,1,75507,2018-07-25 07:33:17:101
1,-10,0,76008,2018-07-25 07:33:17:602
1,-10,-1,76508,2018-07-25 07:33:18:102
