sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Mph);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.0;3.0;9.0;0.0;3.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;39.0;-12.0;10.0;-42.0;30.0;-20.0;2.0;5.0;24.0;42.49;-83.42;0.0;863.33878215217;0.0;56.52;;0 / 2;8;2018-07-25 07:32:01:602
-1.0;4.0;9.0;-1.0;3.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;39.0;-10.0;11.0;-42.0;30.0;-20.0;4.0;5.0;22.0;42.49;-83.42;0.0;863.33878215217;0.0;56.52;;0 / 2;508;2018-07-25 07:32:02:102
-1.0;4.0;9.0;-1.0;4.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;38.0;-1.0;14.0;-42.0;14.0;-21.0;8.0;5.0;24.0;42.49;-83.42;0.0;863.33878215217;0.0;56.52;;0 / 3;1007;2018-07-25 07:32:02:601
-1.0;4.0;9.0;-1.0;4.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;38.0;-2.0;12.0;-43.0;15.0;-25.0;8.0;5.0;23.0;42.49;-83.42;0.0;863.33878215217;0.0;56.52;;0 / 3;1507;2018-07-25 07:32:03:101
-1.0;4.0;8.0;-1.0;5.0;8.0;0.0;0.0;0.0;0.0;1.0;0.0;38.0;2.0;9.0;-44.0;10.0;-29.0;9.0;5.0;23.0;42.49;-83.42;0.0;863.33878215217;0.0;56.52;;0 / 4;2007;2018-07-25 07:32:03:601
-4.0;5.0;8.0;-3.0;5.0;8.0;0.0;0.0;1.0;0.0;1.0;0.0;38.0;17.0;7.0;-42.0;4.0;-31.0;23.0;5.0;22.0;42.49;-83.42;0.0;863.33878215217;0.0;56.52;;0 / 4;2508;2018-07-25 07:32:04:102
-3.0;5.0;8.0;-2.0;5.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;38.0;13.0;7.0;-43.0;0.0;-30.0;17.0;5.0;23.0;42.49;-83.42;0.0;863.33878215217;0.0;56.52;;0 / 5;3007;2018-07-25 07:32:04:601
-2.0;5.0;8.0;-2.0;5.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;12.0;5.0;-45.0;358.0;-32.0;14.0;5.0;36.0;42.49;-83.42;0.0;863.33878215217;0.0;56.52;;0 / 5;3508;2018-07-25 07:32:05:102
-6.0;7.0;7.0;-4.0;5.0;7.0;-2.0;2.0;0.0;0.0;2.0;0.0;40.0;20.0;1.0;-41.0;4.0;-34.0;27.0;5.0;27.0;42.49;-83.42;0.0;863.33878215217;0.0;56.52;;0 / 7;4007;2018-07-25 07:32:05:601
-12.0;-6.0;2.0;-9.0;-1.0;4.0;-4.0;-5.0;-1.0;-1.0;3.0;-5.0;40.0;34.0;26.0;-17.0;0.0;-2.0;64.0;5.0;30.0;42.49;-83.42;0.0;863.33878215217;0.0;56.52;;0 / 7;4507;2018-07-25 07:32:06:101
-7.0;-1.0;-1.0;-9.0;-3.0;-1.0;2.0;1.0;-1.0;-1.0;-1.0;1.0;70.0;36.0;33.0;1.0;4.0;17.0;94.0;2.0;31.0;42.49;-83.42;0.0;863.33878215217;0.0;64.08;;5 / 10;5007;2018-07-25 07:32:06:601
-15.0;-5.0;0.0;-9.0;-2.0;2.0;-6.0;-4.0;-8.0;0.0;1.0;-1.0;0.0;32.0;27.0;1.0;341.0;14.0;81.0;0.0;40.0;42.49;-83.42;0.0;863.33878215217;0.0;64.08;;5 / 10;5508;2018-07-25 07:32:07:102
-3.0;-9.0;8.0;1.0;-9.0;4.0;-4.0;-1.0;6.0;0.0;4.0;-1.0;0.0;-26.0;23.0;-18.0;121.0;64.0;-20.0;0.0;45.0;42.49;-83.42;0.0;863.33878215217;0.0;64.08;;5 / 10;6008;2018-07-25 07:32:07:602
0.0;-9.0;-1.0;0.0;-10.0;1.0;1.0;0.0;-2.0;-1.0;4.0;0.0;6.0;-23.0;27.0;-14.0;106.0;81.0;5.0;0.0;46.0;42.49;-83.42;0.0;863.33878215217;0.0;64.08;;5 / 10;6507;2018-07-25 07:32:08:101
-1.0;-11.0;0.0;1.0;-10.0;-1.0;-1.0;0.0;1.0;0.0;1.0;0.0;6.0;-17.0;26.0;-24.0;288.0;83.0;-138.0;0.0;43.0;42.49;-83.42;761.0;863.33878215217;2.0;154.84;;7 / 7;7008;2018-07-25 07:32:08:602
0.0;-10.0;1.0;1.0;-10.0;1.0;-1.0;0.0;0.0;0.0;1.0;0.0;6.0;8.0;16.0;-33.0;222.0;80.0;-27.0;0.0;45.0;42.49;-83.42;761.0;863.33878215217;2.0;154.84;;7 / 7;7508;2018-07-25 07:32:09:102
2.0;-10.0;0.0;1.0;-10.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;13.0;21.0;22.0;-27.0;300.0;85.0;-81.0;0.0;31.0;42.49;-83.42;761.0;863.33878215217;2.0;154.84;;0 / 7;8008;2018-07-25 07:32:09:602
2.0;-10.0;0.0;1.0;-10.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;13.0;28.0;27.0;-10.0;353.0;84.0;-103.0;0.0;42.0;42.49;-83.42;761.0;863.33878215217;2.0;154.84;;0 / 7;8507;2018-07-25 07:32:10:101
2.0;-9.0;0.0;1.0;-10.0;1.0;0.0;1.0;-1.0;0.0;1.0;0.0;12.0;26.0;29.0;2.0;329.0;78.0;-48.0;0.0;39.0;42.49;-83.42;761.0;863.33878215217;2.0;154.84;;0 / 7;9007;2018-07-25 07:32:10:601
-1.0;-10.0;-1.0;1.0;-10.0;0.0;-2.0;0.0;-1.0;0.0;0.0;0.0;13.0;26.0;29.0;4.0;15.0;85.0;-97.0;0.0;40.0;42.49;-83.42;761.0;863.33878215217;2.0;154.84;;0 / 7;9508;2018-07-25 07:32:11:102
0.0;-10.0;0.0;1.0;-10.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;28.0;4.0;12.0;86.0;-93.0;0.0;26.0;42.49;-83.42;;863.33878215217;1.0;7733.9;320.0;5 / 10;10007;2018-07-25 07:32:11:601
1.0;-10.0;0.0;1.0;-10.0;0.0;1.0;0.0;1.0;0.0;-1.0;0.0;2.0;25.0;28.0;5.0;27.0;83.0;-109.0;0.0;32.0;42.49;-83.42;;863.33878215217;1.0;7733.9;320.0;5 / 10;10508;2018-07-25 07:32:12:102
1.0;-10.0;0.0;1.0;-10.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;26.0;29.0;6.0;37.0;83.0;-118.0;0.0;31.0;42.49;-83.42;;863.33878215217;1.0;7733.9;320.0;5 / 10;11008;2018-07-25 07:32:12:602
1.0;-10.0;0.0;1.0;-10.0;-1.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;25.0;28.0;8.0;48.0;83.0;-126.0;0.0;31.0;42.49;-83.42;;863.33878215217;1.0;7733.9;320.0;5 / 10;11507;2018-07-25 07:32:13:101
1.0;-10.0;-1.0;1.0;-10.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;23.0;29.0;10.0;57.0;83.0;-130.0;0.0;31.0;42.49;-83.42;;863.33878215217;1.0;7733.9;320.0;5 / 11;12007;2018-07-25 07:32:13:601
0.0;-10.0;0.0;1.0;-10.0;-1.0;-1.0;0.0;1.0;0.0;0.0;0.0;2.0;22.0;30.0;6.0;55.0;83.0;-137.0;0.0;33.0;42.49;-83.42;;863.33878215217;1.0;7733.9;320.0;5 / 11;12507;2018-07-25 07:32:14:101
1.0;-10.0;-1.0;1.0;-10.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;22.0;31.0;7.0;56.0;83.0;-139.0;0.0;34.0;42.49;-83.42;;863.33878215217;1.0;7733.9;320.0;5 / 11;13007;2018-07-25 07:32:14:601
1.0;-10.0;-1.0;1.0;-10.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;32.0;5.0;47.0;84.0;-129.0;0.0;31.0;42.49;-83.42;;863.33878215217;1.0;7733.9;320.0;5 / 11;13508;2018-07-25 07:32:15:102
1.0;-10.0;-1.0;1.0;-10.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;32.0;7.0;60.0;82.0;-140.0;0.0;32.0;42.49;-83.42;;863.33878215217;1.0;7733.9;320.0;5 / 11;14007;2018-07-25 07:32:15:601
1.0;-10.0;-1.0;1.0;-10.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;32.0;7.0;60.0;83.0;-139.0;0.0;36.0;42.49;-83.42;;863.33878215217;1.0;7733.9;320.0;5 / 11;14507;2018-07-25 07:32:16:101
1.0;-10.0;-1.0;1.0;-10.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;34.0;7.0;60.0;83.0;-139.0;0.0;38.0;42.49;-83.42;;863.33878215217;1.0;7733.9;320.0;5 / 11;15008;2018-07-25 07:32:16:602
1.0;-10.0;-1.0;1.0;-10.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;33.0;7.0;61.0;83.0;-141.0;0.0;28.0;42.49;-83.42;;863.33878215217;1.0;7733.9;320.0;5 / 11;15508;2018-07-25 07:32:17:102
1.0;-10.0;-1.0;1.0;-10.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;17.0;33.0;7.0;64.0;83.0;-140.0;0.0;33.0;42.49;-83.42;;863.33878215217;1.0;7733.9;320.0;5 / 11;16008;2018-07-25 07:32:17:602
1.0;-10.0;-1.0;1.0;-10.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;18.0;33.0;7.0;61.0;83.0;-140.0;0.0;41.0;42.49;-83.42;;863.33878215217;1.0;7733.9;320.0;5 / 11;16508;2018-07-25 07:32:18:102
